$ kubectl -n fraud-platform get events --sort-by=.metadata.creationTimestamp
LAST SEEN   TYPE      REASON                         OBJECT                                    MESSAGE
21s         Normal    Scheduled                      pod/transaction-api-856c5b997b-44gcm      Successfully assigned fraud-platform/transaction-api-856c5b997b-44gcm to cn-hangzhou.10.94.68.55
22s         Normal    AllocIPSucceed                 pod/transaction-api-856c5b997b-44gcm      Alloc IP 10.94.68.80/16 took 39.933139ms
22s         Normal    ScalingReplicaSet              deployment/transaction-api                Scaled up replica set transaction-api-856c5b997b from 1 to 2
22s         Normal    SuccessfulDelete               replicaset/transaction-api-5f9845bdfb     Deleted pod: transaction-api-5f9845bdfb-g9465
22s         Normal    Killing                        pod/transaction-api-5f9845bdfb-g9465      Stopping container transaction-api
22s         Normal    Pulling                        pod/transaction-api-856c5b997b-44gcm      Pulling image "crpi-tpeh1o86awlrouhr.cn-hangzhou.personal.cr.aliyuncs.com/fraud-detection-reg/transaction-api:latest"
15s         Normal    Started                        pod/transaction-api-856c5b997b-44gcm      Container started
15s         Normal    Pulled                         pod/transaction-api-856c5b997b-44gcm      Successfully pulled image "crpi-tpeh1o86awlrouhr.cn-hangzhou.personal.cr.aliyuncs.com/fraud-detection-reg/transaction-api:latest" in 6.567s (6.567s including waiting). Image size: 138270852 bytes.
15s         Normal    Created                        pod/transaction-api-856c5b997b-44gcm      Container created
2s          Normal    Killing                        pod/transaction-api-5f9845bdfb-bmfzw      Stopping container transaction-api
2s          Normal    SuccessfulDelete               replicaset/transaction-api-5f9845bdfb     Deleted pod: transaction-api-5f9845bdfb-bmfzw
2s          Normal    ScalingReplicaSet              deployment/transaction-api                Scaled down replica set transaction-api-5f9845bdfb from 1 to 0
